iter	Passed	Remaining
491	300115	2139846
492	300560	2138065
493	301192	2137609
494	301701	2136289
495	302331	2135824
496	302864	2134679
497	303367	2133320
498	303909	2132241
499	304464	2131248
500	304988	2130048
501	305539	2129034
502	306088	2128016
503	306603	2126755
504	307126	2125561
505	307720	2124853
506	308247	2123685
507	308765	2122459
508	309405	2122072
509	309973	2121192
510	310476	2119870
511	311078	2119222
512	311624	2118193
513	312311	2118128
514	312813	2116806
515	313386	2115969
516	313974	2115230
517	314589	2114672
518	315058	2113135
519	315595	2112065
520	316142	2111058
521	316706	2110161
522	317229	2108997
523	317852	2108504
524	318483	2108060
525	319064	2107279
526	319694	2106828
527	320285	2106119
528	320824	2105069
529	321332	2103816
530	321950	2103285
531	322442	2101937
532	323132	2101876
533	323777	2101520
534	324378	2100883
535	324934	2099951
536	325513	2099168
537	325996	2097767
538	326669	2097595
539	327351	2097473
540	327953	2096843
541	328510	2095921
542	329059	2094950
543	329586	2093843
544	330170	2093100
545	330683	2091904
546	331402	2092016
547	331995	2091329
548	332664	2091121
549	333309	2090758
550	333915	2090152
551	334450	2089105
552	335063	2088540
553	335589	2087441
554	336193	2086821
555	336810	2086288
556	337492	2086150
557	338069	2085368
558	338641	2084552
559	339337	2084504
560	339955	2083969
561	340538	2083223
562	341193	2082915
563	341701	2081711
564	342202	2080471
565	342769	2079630
566	343338	2078804
567	343812	2077401
568	344382	2076584
569	344931	2075640
570	345530	2074996
571	346017	2073686
572	346514	2072434
573	347137	2071941
574	347716	2071182
575	348262	2070226
576	348827	2069384
577	349307	2068048
578	349876	2067231
579	350398	2066144
580	350952	2065243
581	351509	2064361
582	352009	2063152
583	352536	2062098
584	353131	2061440
585	353644	2060309
586	354238	2059649
587	354802	2058819
588	355434	2058380
589	355997	2057543
590	356601	2056947
591	357171	2056150
592	357795	2055662
593	358392	2055025
594	358923	2054010
595	359570	2053652
596	360121	2052753
597	360714	2052090
598	361402	2051970
599	361927	2050921
600	362536	2050351
601	363116	2049618
602	363667	2048720
603	364291	2048235
604	364856	2047416
605	365350	2046202
606	365898	2045294
607	366544	2044935
608	367096	2044044
609	367562	2042684
610	368171	2042118
611	368738	2041316
612	369372	2040886
613	369855	2039627
614	370399	2038703
615	371009	2038141
616	371533	2037110
617	372070	2036155
618	372580	2035048
619	373192	2034500
620	373743	2033622
621	374353	2033065
622	374832	2031797
623	375431	2031179
624	375952	2030143
625	376496	2029230
626	377106	2028676
627	377736	2028226
628	378295	2027399
629	378844	2026515
630	379468	2026038
631	380041	2025283
632	380653	2024741
633	381254	2024135
634	381859	2023554
635	382416	2022718
636	383048	2022277
637	383656	2021711
638	384207	2020846
639	384731	2019841
640	385383	2019507
641	385947	2018709
642	386537	2018051
643	387184	2017687
644	387778	2017050
645	388355	2016322
646	388939	2015634
647	389728	2016003
648	390251	2014999
649	391022	2015268
650	391666	2014884
651	392305	2014476
652	392974	2014222
653	393619	2013836
654	394169	2012974
655	394890	2012978
656	395956	2014736
657	397354	2018175
658	399524	2025511
659	400134	2024923
660	400641	2023817
661	401342	2023685
662	401936	2023021
663	402493	2022163
664	403119	2021657
